Genus,2_4_May_B,2_6_Feb_B,2_6_May_A,3_1_Feb_A,3_1_May_A,3_2_Feb_A,3_2_May_A,3_3_Feb_A,3_3_May_A,3_4_Feb_A,3_4_May_A,3_5_Feb_A,3_5_May_A,3_6_Feb_A,3_6_May_A,4_1_Apr_B,4_2_Apr_B,4_2_Jan_A,4_3_Apr_B,4_3_Jan_A,4_4_Apr_B,4_4_Jan_A,4_5_Apr_B,4_5_Jan_A,4_6_Apr_B,4_6_Jan_A,5_1_Jan_A,5_2_Apr_A,5_2_Jan_A,5_3_Apr_A,5_3_Jan_A,5_4_Apr_A,5_4_Jan_A,5_5_Apr_B,5_5_Jan_A,5_6_Apr_B,5_6_Jan_A,6_1_May_A,8_7_May_A,8_8_May_A,9_1_Apr_A,9_1_Jan_A,9_2_Apr_A,9_2_Jan_A,9_3_Apr_A,9_3_Jan_A,6_2_May_A,6_6_Feb_A,6_6_May_B,7_1_Feb_A,7_1_May_B,7_2_Feb_B,7_2_May_A,7_3_Feb_A,7_3_May_B,7_4_Feb_B,7_4_May_B,7_5_Feb_A,7_5_May_A,7_6_May_B,8_1_Feb_A,8_2_Feb_A,8_2_May_A,8_3_Feb_A,8_3_May_A,8_4_Feb_A,8_4_May_A,8_5_Feb_B,8_5_May_A,8_6_May_A,8_7_Feb_B
Acidovorax,0,0,84,24,2,9,4,18,762,19,1,17,76,16,0,226,521,40,156,209,251,114,217,18,2,5,3,3,0,27,48,0,1,8,0,0,446,0,0,1,2,5,2,4,34,0,0,0,0,34,18,6,24,4,22,2,25,0,0,0,0,36,0,3,0,0,0,0,4,46,8
Acinetobacter,37,0,1,0,0,0,0,0,0,1,3,0,17,2,0,0,0,0,1,1,0,0,0,0,0,1,1,2,0,134,0,17,3,1039,0,0,0,0,4,0,4,1,1,0,4,0,0,0,0,0,0,0,0,8,8,0,4,0,0,0,0,18,6,0,19,0,0,0,132,15,2
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,0,0,10,1,434,4,14,2,12,4,2,0,118,7,4,2,0,1,2,6,0,0,0,2,0,27,1,6,0,48,0,0,0,6,0,117,49,0,0,0,3,2,2,2,1,3,0,0,0,1,161,22,216,0,162,0,117,0,2,0,0,0,0,0,0,0,0,0,0,0,17
alphaI_cluster,0,18,17,5,0,5,0,2,0,4,0,0,0,8,44,122,52,28,43,8,59,9,114,14,28,27,0,0,1,0,0,0,0,0,0,0,497,0,124,0,0,1,1,0,0,4,0,17,12,0,6,0,1,7,2,0,2,183,137,0,2,0,1,0,0,0,0,0,0,0,46
Aquabacterium,0,0,2,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,27,558,25,16,0,0,0,0,26,0,20,0,1,0,0,0,0,0,4,0,0,0,1,13,1,0,2,0,0,0,0,33,9,2,2,28,10,36,18,0,0,602,0,2,0,0,0,0,0,0,0,5,0
Bacillus,0,0,161,29,0,74,0,103,7,50,0,233,10,62,1,0,0,1,0,1,0,17,0,15,0,6,0,25,0,6,1,69,0,42,7,0,3,0,6,0,0,1,0,1,0,1,3,0,1,343,185,406,125,93,115,138,56,0,0,0,4,8,10,11,6,0,2,1,118,17,86
Bdellovibrio,0,2,6,8,1,22,0,3,0,3,0,0,0,6,0,552,170,244,248,67,195,200,615,166,0,6,17,0,17,0,12,0,8,0,14,0,3,0,0,107,32,14,41,28,0,0,0,6,1,0,14,8,16,0,4,3,7,1,0,0,0,0,0,0,0,0,0,0,3,0,3
Blastomonas,0,0,4,37,40,1,205,0,0,5,190,0,3,0,0,2,23,11,10,18,3,5,1,2,0,0,2,0,5,0,1,0,8,1,18,0,114,321,0,4,7,18,12,17,0,0,303,0,0,10,0,6,5,16,2,5,11,0,0,3,2,137,106,9,18,0,0,0,441,12,0
Bosea,5,0,6,33,32,24,5,0,10,10,5,0,4,6,0,131,59,175,190,62,183,140,133,153,0,2,0,10,0,14,2,0,0,3,0,0,150,56,0,0,1,1,0,3,0,0,41,0,0,4,7,10,7,0,2,0,7,0,0,0,0,205,30,205,3,58,12,311,116,89,2
Bradyrhizobium,17,0,3,33,0,42,1,1,4,11,0,0,0,17,0,27,19,36,60,102,45,69,22,33,3,8,22,0,8,3,13,0,14,0,0,0,1,388,3,11,2,4,2,6,0,0,51,1,1,90,60,18,34,154,72,152,92,2,1,0,0,60,5,20,3,8,13,1,9,64,27
Brevundimonas,39,4,9,49,230,46,3,7,124,15,4,0,189,6,11,62,46,244,79,133,64,336,58,233,10,54,2,11,7,99,1,9,2,363,3,0,44,0,0,9,70,17,70,27,14,18,0,0,0,30,24,25,19,23,101,25,13,0,0,0,0,5,6,1,7,0,0,0,181,27,14
Candidatus_Methylopumilus,0,261,6,0,0,0,0,14,0,0,0,1,0,0,31,0,0,0,0,0,0,0,8,0,118,60,0,0,1,0,4,0,0,0,0,0,0,0,167,0,0,0,0,0,0,23,1,96,15,0,0,9,0,0,0,0,0,498,169,0,7,7,0,0,0,0,0,0,0,0,7
Candidatus_Obscuribacter,50,0,0,15,0,0,0,2,2,0,0,0,0,1,0,0,3,8,13,21,2,14,3,1,0,0,177,178,295,16,208,273,162,166,461,0,2,12,0,25,87,18,62,24,0,0,0,0,0,22,0,3,3,24,10,25,5,0,0,0,10,403,78,12,2,2,6,14,174,11,0
Candidatus_Omnitrophus,0,1,0,3,0,5,0,5,0,1,0,0,0,2,0,0,0,5,0,0,0,0,0,0,3,8,200,0,231,0,206,0,238,0,311,1,4,0,1,430,63,107,75,134,150,642,0,12,2,0,0,3,0,5,1,2,0,4,0,0,2,0,0,0,0,0,0,1,25,0,1
Candidatus_Paracaedibacter,0,2,0,43,0,11,0,7,14,12,1,0,1,18,0,200,96,57,149,66,133,102,145,86,8,2,0,0,0,0,1,0,0,0,0,0,0,0,0,5,37,27,39,25,0,0,0,5,4,11,21,0,25,3,11,6,5,1,0,0,1,0,0,0,0,0,0,0,0,0,2
Candidatus_Planktophila,0,100,42,3,0,0,0,0,0,0,0,0,0,0,467,0,0,2,7,11,1,11,0,2,543,182,1,0,1,0,5,0,0,0,1,0,0,0,548,0,0,0,0,0,0,15,0,207,339,20,4,35,1,30,9,26,12,342,337,0,17,5,0,26,0,0,0,0,0,0,120
Caulobacter,0,6,4,5,3,3,91,10,21,13,1,0,850,17,45,0,0,0,2,11,0,0,1,1,3,20,0,0,0,0,0,1,0,0,0,0,39,0,0,23,2,3,6,3,0,2,0,3,5,16,45,4,40,3,24,1,10,20,6,27,0,0,0,0,0,0,0,0,0,0,17
CL500-29_marine_group,0,222,90,0,0,0,0,139,0,2,0,5,0,1,484,0,0,0,0,3,1,1,0,1,870,252,0,1,8,0,7,0,0,0,4,2,0,0,1407,22,13,13,10,16,0,60,0,783,906,0,2,29,1,0,0,0,2,233,530,0,15,3,4,5,0,0,0,1,0,0,204
Clostridium_perfringens,0,0,21,78,0,166,0,302,15,104,0,607,28,113,1,0,0,25,0,0,0,26,0,44,2,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,30,6,35,9,11,3,11,13,0,0,0,51,36,2,18,0,1,0,1,0,0,24
Curvibacter,16,0,1,122,3,162,0,3,34,62,1,0,0,64,0,274,153,9,170,35,301,12,368,6,0,2,10,1,6,4,8,0,17,0,0,28,133,0,0,1,19,11,11,18,12,5,87,0,0,51,98,24,103,166,112,200,141,0,1,2077,0,2,0,0,0,0,1,0,14,0,0
Cyanobium_PCC-6307,0,33,2,0,0,3,0,29,5,6,0,14,7,17,222,0,0,0,0,2,0,0,0,0,11,4,0,0,0,0,4,0,0,0,1,0,0,0,62,0,0,0,0,0,0,71,0,601,1178,0,0,6,0,4,0,0,0,0,22,0,29,8,0,5,0,0,0,0,0,0,26
Dechloromonas,0,3,0,0,0,0,0,1,6,4,0,2,5,1,0,0,0,0,8,17,5,4,0,0,0,3,0,0,16,3,2,0,21,0,0,0,3,0,0,0,95,347,112,304,0,3,83,0,0,0,7,3,6,2,2,0,4,0,0,0,0,0,0,5,0,0,0,1,0,0,7
Desulfosporosinus,1529,0,365,7,0,23,0,60,2,16,0,122,0,7,0,0,0,2,1,5,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,8,41,2,29,5,10,9,0,0,0,10,25,2,34,0,0,0,1,3,0,1
Duganella,0,0,363,5,0,23,0,5,88,30,0,2,94,23,5,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,125,603,30,580,41,439,6,314,0,0,0,0,0,1,12,0,0,0,0,0,0,0
Flavobacterium,0,758,117,47,8,38,37,119,160,28,105,106,1072,43,484,1,0,4,4,33,12,1,3,7,325,462,1,0,3,0,1,0,0,0,3,0,2,0,5,1,0,2,1,0,0,1,0,20,4,0,59,119,46,0,42,3,28,49,115,0,3,17,0,16,0,0,0,0,0,0,100
Gallionella,0,2,0,22,0,46,0,0,29,7,0,0,0,6,0,4,88,58,197,472,180,382,0,0,1,3,70,0,0,0,250,0,0,0,0,0,1,0,0,24,1,0,3,0,1,0,6,0,0,60,10,30,28,168,42,92,74,0,0,0,0,25,0,6,0,3,7,0,0,0,0
GKS98_freshwater_group,0,15,24,1,0,2,0,5,40,3,0,3,28,0,38,320,158,6,167,14,267,37,307,4,188,80,0,0,0,0,3,0,0,0,0,0,0,0,142,0,0,0,0,0,0,15,4,89,28,0,2,0,2,0,5,0,5,412,331,0,3,0,0,7,0,0,0,3,0,0,106
Herminiimonas,0,0,107,84,4723,25,4457,0,9,11,3872,1,294,5,0,5,2,2,8,0,4,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hgcI_clade,0,,55,3,0,0,0,0,0,0,0,0,0,0,638,0,0,2,0,0,0,0,0,0,720,331,0,0,4,0,10,0,0,0,0,0,0,0,692,1,0,0,0,0,0,50,3,571,753,0,3,57,0,0,0,0,0,480,551,0,9,19,1,30,0,0,0,0,0,0,212
Hydrogenophaga,0,0,3,17,454,21,0,0,19,18,57,0,661,11,0,780,404,1933,745,377,771,1282,820,2390,18,19,28,0,16,0,35,0,14,0,36,0,600,0,0,2,337,307,413,414,3,2,0,0,0,38,12,24,14,5,0,4,6,0,0,320,2,0,0,0,0,0,0,0,0,0,3
